品名,型号,色号,现库存,备注,类别
长安,C84003,NB1,271,,墙砖
长安,C84013,MA1,294,,墙砖
长安,C84025,NB2,22,,墙砖
长安,C84033,ND50,572,,墙砖
长安,C84301,QE152,0,,墙砖
长安,C84301,RBD1,20,,墙砖
长安,C84301,RAA1,"1,092",,墙砖
长安,C84050,QB1,447,,墙砖
长安,C84901,RB90,"1,049",,墙砖
长安,C84902,RAA2,121,,墙砖
,C84303,RCD1,91,其中在环亚13件,墙砖
长安,CAY8488-2,GFA1,147,其中在环亚21件,墙砖
长安,CAY8489-2,,259,,墙砖
长安,CAY8488-2,RB50,70,,墙砖
长安,48803,,270,,墙砖
长安,806903B,G60,"6,714",,墙砖
长安,66843-1,H3,632,,墙砖
长安,66849上,H2,320,,墙砖
长安,66849下,H3,555,,墙砖
长安,66852上,K15,118,,墙砖
长安,66852下,K6,299,,墙砖
长安,66858画,,152,,墙砖
长安,66890,H13,"1,138",,墙砖
长安,66928上,F4,160,,墙砖
长安,66928下,F1,263,,墙砖
长安,66929,H12,533,,墙砖
长安,66932上,,"1,264",,墙砖
长安,66932上,G2,247,,墙砖
长安,66936上,H35,669,,墙砖
长安,66936下,H15,67,,墙砖
长安,66936下,K2,374,,墙砖
长安,66948画,H14,324,,墙砖
长安,66950上,H4,"1,043",,墙砖
长安,66950下,H1,504,,墙砖
长安,66951下,H1,144,,墙砖
长安,66867,K1,401,,墙砖
长安,66867画,K1,216,,墙砖
长安,26808,,224,,墙砖
长安,34936上,14,464,,墙砖
长安,34936下,,45,,墙砖
雅士高夫,63A061,K8,528,,墙砖
雅士高夫,63B063,,144,,墙砖
雅士高夫,63A300,R5,197,,墙砖
美陶尚品,805926,110,116,,墙砖
美陶尚品,805928,116,351,,墙砖
美陶尚品,6818A,606,273,,墙砖
美陶尚品,80011A,612,144,,墙砖
美陶尚品,80011A,617,50,,墙砖
美陶尚品,80011画,,24,,墙砖
美陶尚品,59921,7,"1,184",,墙砖
美陶尚品,80001,,8,,墙砖
美陶尚品,80001,603,576,,墙砖
美陶尚品,5901,640,"1,024",,墙砖
科创城,8983,705,456,,墙砖
丰麦园,60109,,"1,660",,墙砖
酒调,848031,,14,,墙砖
酒调,848203,,21,,墙砖
,红猫爪400*400,,8,,墙砖
,绿猫爪400*401,,10,,墙砖
酒调,400*800画酒调MD10H,,-4,,墙砖
酒调,8482013,,0,,墙砖
,,,,,
,,,,,
长安,CA8132,ND1,149,,大地砖
长安,CQ8102,KC2,465,,大地砖
长安,CQ8111,JF3,111,,大地砖
长安,CQ8111,KC2,137,,大地砖
长安,CQ8112,,42,,大地砖
长安,CQ8112,JA2,249,,大地砖
长安,CQ8115,,33,,大地砖
长安,CQ8115,KB2,208,,大地砖
长安,CQ8126,KA54,308,,大地砖
长安,CD8023,KA1,264,,大地砖
长安,CD8027,JB1,286,,大地砖
长安,CD8056,HA1,273,,大地砖
长安,CD8063,HA1,255,,大地砖
长安,CD8088,HA3,129,,大地砖
长安,CD80108,HC1,249,,大地砖
长安,CD80109,HB1,179,,大地砖
长安,CY8151画,JB5,63,,大地砖
长安,CY8152画,JB2,54,,大地砖
长安,CY8103,,599,,大地砖
长安,CY8106,JE51,76,,大地砖
长安,CY8106,KC2,177,,大地砖
长安,CY8108,KB2,324,,大地砖
长安,CY8112,KB1,250,,大地砖
长安,CY8121,KA51,251,,大地砖
长安,CSD8108,GD2,534,,大地砖
长安,CSD8128,HA1,639,,大地砖
长安,CSD8126,KA1,38,,大地砖
长安,CSD8126,KA4,435,,大地砖
长安,CF69508,KA1,30,,大地砖
长安,CF69508,KA8,600,,大地砖
长安,CF69511,JA1,293,,大地砖
长安,CY6909,JA1,497,,大地砖
长安,CSD69106,JA1,570,,大地砖
长安,CSD69108,JC50,895,,大地砖
长安,CSD69126,JB1,111,,大地砖
长安,CAT81103,2025RE52,67,,大地砖
长安,CAT81103,2024RE52,60,,大地砖
长安,CAT81103,RE51,561,其中有187件在环亚,大地砖
长安,CAT8151,NC1,201,,大地砖
长安,CAT8151,NC2,9,,大地砖
长安,CAT8155,LB1B,869,,大地砖
长安,CAT8191,NC51,594,,大地砖
长安,CAT8190,NAIY,96,,大地砖
长安,CT8101,KB3,113,,大地砖
长安,CT8123,KA3,552,,大地砖
长安,CT8130,KD1A,305,,大地砖
长安,C80102,ZC1,376,,大地砖
长安,CT81301,RBC3,13,,大地砖
长安,CT81301,RD50,149,其中有48件在环亚,大地砖
长安,CT81303,RF1,132,其中有44件在环亚,大地砖
长安,CT9112,LB4YA,75,,大地砖
长安,C80306,FA8,780,,大地砖
长安,C80308,FA8,337,,大地砖
长安,80W016微晶石,DA1,384,,大地砖
长安,W80059微晶石,FD1,65,,大地砖
长安,10501,,92,,大地砖
长安,CT175901,RD92,,,大地砖
长安,CT17530,RC2,0,,大地砖
长安,CS175168,,130,,大地砖
多米诺,8D6002,18,373,,大地砖
多米诺,85033,,333,,大地砖
多米诺,T85055,,236,,大地砖
嘉百福,82012,,605,,大地砖
新华夏,XH8033,23,156,,大地砖
新华夏,XH8024,,117,,大地砖
新款,流金红,,259,,大地砖
谊德利,YD8C315,,203,,大地砖
壹号,HZSC8010,14K11,723,,大地砖
壹号,HZSC8012,14LBB,723,,大地砖
壹号,HZSC8017,14J7,503,,大地砖
壹号,H3SC8002,,37,,大地砖
壹号,HZPA8012,15H10,447,,大地砖
壹号,HISC8013,14LBB,67,,大地砖
卓冠,86510,A70,166,,大地砖
贝多芬,80092,,171,,大地砖
木纹砖,800/800,,162,,大地砖
长安600/600,水泥砖,KB1,693,,大地砖
萨尼克,56B020,50B,232,,大地砖
佛若伦莎,60T06,1D9,228,,大地砖
懋隆,5002,SHA2,192,,大地砖
懋隆,611002,,547,,大地砖
懋隆,815214,,360,,大地砖
懋隆,615K02M,S1,606,,大地砖
懋隆,615K02M,S2,554,,大地砖
懋隆,615C02,SA1,100,,大地砖
懋隆,615202,SA3,66,,大地砖
懋隆,915666,,113,,大地砖
懋隆,122W35,,540,,大地砖
懋隆,5854,,252,,大地砖
懋隆,5856,,282,,大地砖
百墨瑜彩600/600,纯黑哑光,,271,,大地砖
长安1.8米,18956,,11,,大地砖
维多利亚,1.8岩板,,11,,大地砖
设计师,715256,,47,,大地砖
水墨画,600x900,,89,,大地砖
,,,,,
品名,型号,色号,现库存,备注,
长安,CQ8102,,12,,大地砖
长安,CQ8123,,9,,大地砖
长安,CQ8123,LB1A,55,,大地砖
长安,CA8156,MB1,66,,大地砖
长安,CA8159,NC1,16,,大地砖
长安,CA8159,MB1,13,,大地砖
长安,CY8105,,13,,大地砖
长安,CY8108,,11,,大地砖
长安,CF69503,JB54,24,,大地砖
长安,微晶琥珀色,,15,,大地砖
长安,微品石大厅地,,15,,大地砖
长安,微晶石深啡网,,29,,大地砖
长安,微晶墨绿色,,22,,大地砖
长安,微晶黑色,,6,,大地砖
长安,CD8027,,25,,大地砖
长安,CD8053,,65,,大地砖
长安,雨林棕,,22,,大地砖
长安,CD8030,,15,,大地砖
长安,CD8108,,7,,大地砖
